ONCENTER,,OFFCENTER
"image_number,spike_position,spike_time",,"image_number,spike_position,spike_time"
,,
"1,0,0",,"1,0,0"
,,
"1,0,0",,"1,0,0"
,,
"1,0,0",,"1,0,0"
,,
"1,0,0",,"1,0,0"
,,
"1,0,0",,"1,0,0"
,,
"1,0,0",,"1,0,0"
,,
"1,0,0",,"1,0,0"
,,
"1,0,0",,"1,0,0"
,,
"1,0,0",,"1,0,0"
,,
"2,0,0",,"2,0,0"
,,
"2,0,0",,"2,0,0"
,,
"2,0,0",,"2,0,0"
,,
"2,0,0",,"2,0,0"
,,
"2,0,0",,"2,0,0"
,,
"2,0,0",,"2,0,0"
,,
"2,0,0",,"2,0,0"
,,
"2,0,0",,"2,0,0"
,,
"2,0,0",,"2,0,0"
,,
"3,-1,0",,"3,1,6"
,,
"3,-1,0",,"3,1,6"
,,
"3,1,6",,"3,-1,0"
,,
"3,0,0",,"3,0,0"
,,
"3,0,0",,"3,0,0"
,,
"3,0,0",,"3,0,0"
,,
"3,0,0",,"3,0,0"
,,
"3,0,0",,"3,0,0"
,,
"3,0,0",,"3,0,0"
,,
"4,3,4",,"4,-3,0"
,,
"4,1,6",,"4,-1,0"
,,
"4,0,0",,"4,0,0"
,,
"4,0,0",,"4,0,0"
,,
"4,0,0",,"4,0,0"
,,
"4,0,0",,"4,0,0"
,,
"4,0,0",,"4,0,0"
,,
"4,0,0",,"4,0,0"
,,
"4,0,0",,"4,0,0"
,,
"5,0,0",,"5,0,0"
,,
"5,0,0",,"5,0,0"
,,
"5,0,0",,"5,0,0"
,,
"5,0,0",,"5,0,0"
,,
"5,0,0",,"5,0,0"
,,
"5,0,0",,"5,0,0"
,,
"5,0,0",,"5,0,0"
,,
"5,0,0",,"5,0,0"
,,
"5,0,0",,"5,0,0"
,,
"6,0,0",,"6,0,0"
,,
"6,0,0",,"6,0,0"
,,
"6,0,0",,"6,0,0"
,,
"6,0,0",,"6,0,0"
,,
"6,0,0",,"6,0,0"
,,
"6,0,0",,"6,0,0"
,,
"6,0,0",,"6,0,0"
,,
"6,0,0",,"6,0,0"
,,
"6,0,0",,"6,0,0"
,,
"7,2,5",,"7,-2,0"
,,
"7,1,6",,"7,-1,0"
,,
"7,1,6",,"7,-1,0"
,,
"7,0,0",,"7,0,0"
,,
"7,0,0",,"7,0,0"
,,
"7,0,0",,"7,0,0"
,,
"7,0,0",,"7,0,0"
,,
"7,0,0",,"7,0,0"
,,
"7,0,0",,"7,0,0"
,,
"8,0,0",,"8,0,0"
,,
"8,0,0",,"8,0,0"
,,
"8,0,0",,"8,0,0"
,,
"8,0,0",,"8,0,0"
,,
"8,0,0",,"8,0,0"
,,
"8,0,0",,"8,0,0"
,,
"8,0,0",,"8,0,0"
,,
"8,0,0",,"8,0,0"
,,
"8,0,0",,"8,0,0"
,,
"9,-1,0",,"9,1,6"
,,
"9,1,6",,"9,-1,0"
,,
"9,0,0",,"9,0,0"
,,
"9,0,0",,"9,0,0"
,,
"9,0,0",,"9,0,0"
,,
"9,0,0",,"9,0,0"
,,
"9,0,0",,"9,0,0"
,,
"9,0,0",,"9,0,0"
,,
"9,0,0",,"9,0,0"
,,
"10,2,5",,"10,-2,0"
,,
"10,0,0",,"10,0,0"
,,
"10,0,0",,"10,0,0"
,,
"10,0,0",,"10,0,0"
,,
"10,0,0",,"10,0,0"
,,
"10,0,0",,"10,0,0"
,,
"10,0,0",,"10,0,0"
,,
"10,0,0",,"10,0,0"
,,
"10,0,0",,"10,0,0"
,,
"11,2,5",,"11,-2,0"
,,
"11,1,6",,"11,-1,0"
,,
"11,0,0",,"11,0,0"
,,
"11,0,0",,"11,0,0"
,,
"11,0,0",,"11,0,0"
,,
"11,0,0",,"11,0,0"
,,
"11,0,0",,"11,0,0"
,,
"11,0,0",,"11,0,0"
,,
"11,0,0",,"11,0,0"
,,
"12,0,0",,"12,0,0"
,,
"12,0,0",,"12,0,0"
,,
"12,0,0",,"12,0,0"
,,
"12,0,0",,"12,0,0"
,,
"12,0,0",,"12,0,0"
,,
"12,0,0",,"12,0,0"
,,
"12,0,0",,"12,0,0"
,,
"12,0,0",,"12,0,0"
,,
"12,0,0",,"12,0,0"
,,
"13,2,5",,"13,-2,0"
,,
"13,0,0",,"13,0,0"
,,
"13,0,0",,"13,0,0"
,,
"13,0,0",,"13,0,0"
,,
"13,0,0",,"13,0,0"
,,
"13,0,0",,"13,0,0"
,,
"13,0,0",,"13,0,0"
,,
"13,0,0",,"13,0,0"
,,
"13,0,0",,"13,0,0"
,,
"14,0,0",,"14,0,0"
,,
"14,0,0",,"14,0,0"
,,
"14,0,0",,"14,0,0"
,,
"14,0,0",,"14,0,0"
,,
"14,0,0",,"14,0,0"
,,
"14,0,0",,"14,0,0"
,,
"14,0,0",,"14,0,0"
,,
"14,0,0",,"14,0,0"
,,
"14,0,0",,"14,0,0"
,,
"15,0,0",,"15,0,0"
,,
"15,0,0",,"15,0,0"
,,
"15,0,0",,"15,0,0"
,,
"15,0,0",,"15,0,0"
,,
"15,0,0",,"15,0,0"
,,
"15,0,0",,"15,0,0"
,,
"15,0,0",,"15,0,0"
,,
"15,0,0",,"15,0,0"
,,
"15,0,0",,"15,0,0"
,,
"16,0,0",,"16,0,0"
,,
"16,0,0",,"16,0,0"
,,
"16,0,0",,"16,0,0"
,,
"16,0,0",,"16,0,0"
,,
"16,0,0",,"16,0,0"
,,
"16,0,0",,"16,0,0"
,,
"16,0,0",,"16,0,0"
,,
"16,0,0",,"16,0,0"
,,
"16,0,0",,"16,0,0"
,,
"17,0,0",,"17,0,0"
,,
"17,0,0",,"17,0,0"
,,
"17,0,0",,"17,0,0"
,,
"17,0,0",,"17,0,0"
,,
"17,0,0",,"17,0,0"
,,
"17,0,0",,"17,0,0"
,,
"17,0,0",,"17,0,0"
,,
"17,0,0",,"17,0,0"
,,
"17,0,0",,"17,0,0"
,,
"18,0,0",,"18,0,0"
,,
"18,0,0",,"18,0,0"
,,
"18,0,0",,"18,0,0"
,,
"18,0,0",,"18,0,0"
,,
"18,0,0",,"18,0,0"
,,
"18,0,0",,"18,0,0"
,,
"18,0,0",,"18,0,0"
,,
"18,0,0",,"18,0,0"
,,
"18,0,0",,"18,0,0"
,,
"19,0,0",,"19,0,0"
,,
"19,0,0",,"19,0,0"
,,
"19,0,0",,"19,0,0"
,,
"19,0,0",,"19,0,0"
,,
"19,0,0",,"19,0,0"
,,
"19,0,0",,"19,0,0"
,,
"19,0,0",,"19,0,0"
,,
"19,0,0",,"19,0,0"
,,
"19,0,0",,"19,0,0"
,,
"20,-2,0",,"20,2,5"
,,
"20,2,5",,"20,-2,0"
,,
"20,0,0",,"20,0,0"
,,
"20,0,0",,"20,0,0"
,,
"20,0,0",,"20,0,0"
,,
"20,0,0",,"20,0,0"
,,
"20,0,0",,"20,0,0"
,,
"20,0,0",,"20,0,0"
,,
"20,0,0",,"20,0,0"
,,
"21,0,0",,"21,0,0"
,,
"21,0,0",,"21,0,0"
,,
"21,0,0",,"21,0,0"
,,
"21,0,0",,"21,0,0"
,,
